
		//
		// Overwatch localized names
		//
		"CSGO_Overwatch_TheSuspect"			"The Suspect"
		
		"quest_commandverb_default"										"Score"
		"quest_commandverb_deal"										"Deal"
		"quest_commandverb_earn"										"Earn"
		"quest_commandverb_spend"										"Spend"
		"quest_commandverb_execute"										"Execute"		

		"emptystring"													""

////

		"quest_condition_item_own"										"your own"
		"quest_condition_item_borrowed"									"someone else's"									
		"quest_condition_item_borrowed_teammate"						"teammate's"									
		"quest_condition_item_borrowed_enemy"							"enemy's"									
		"quest_condition_item_borrowed_victim"							"victim's own"									
		"quest_condition_item_nondefault"								"pretty"

		"quest_LoadoutSlot_Melee"										"knife"
		"quest_LoadoutSlot_Secondary"									"pistol"
		"quest_LoadoutSlot_SMG"											"SMG"
		"quest_LoadoutSlot_Rifle"										"rifle"
		"quest_LoadoutSlot_Heavy"										"heavy weapon"

		"quest_item_default"											"weapon"


////
		"quest_event_ending"											"Ends in %s1 minutes"
		"quest_event_soon_hours"										"Starts in %s1 hours"
		"quest_event_soon_hms"											"Starts in %s1:%s2:%s3"
		"quest_event_today"												"Today %s1:%s2"
		"quest_event_future"											"Starts %s1 %s2 %s3:%s4"
		"quest_event_timer"												"Starts in %s1"

////




////////////////////////// generalized quest strings //////////////////////////////
///
///	Use these if applicable. If not, use this pattern to create new ones.
///
///
///

		"quest_default_0_items_desc" "%commandverb% %target% %actions% in <b>%gamemode%: %location%</b> matches."
		"quest_default_1_items_desc" "%commandverb% %target% %actions% with any <i>%item_quality%</i> <b>%item1%</b> in <b>%gamemode%: %location%</b> matches."
		"quest_default_2_items_desc" "%commandverb% %target% %actions% with any <i>%item_quality%</i> <b>%item1%</b> or <b>%item2%</b> in <b>%gamemode%: %location%</b> matches."
		"quest_default_3_items_desc" "%commandverb% %target% %actions% with any <i>%item_quality%</i> <b>%item1%</b>, <b>%item2%</b>, or <b>%item3%</b> %item_quality% in <b>%gamemode%: %location%</b> matches."
		"quest_default_4_items_desc" "%commandverb% %target% %actions% with any <i>%item_quality%</i> <b>%item1%</b>, <b>%item2%</b>, <b>%item3%</b>, or <b>%item4%</b> in <b>%gamemode%: %location%</b> matches."

		"quest_default_hud_0_items_desc" "%commandverb% %target% %actions%"
		"quest_default_hud_1_items_desc" "%commandverb% %target% %actions%: <i>%item_quality%</i> <b>%item1%</b>"
		"quest_default_hud_2_items_desc" "%commandverb% %target% %actions%: <i>%item_quality%</i> <b>%item1%</b>/<b>%item2%</b>"
		"quest_default_hud_3_items_desc" "%commandverb% %target% %actions%: <i>%item_quality%</i> <b>%item1%</b>/<b>%item2%</b>/<b>%item3%</b>"
		"quest_default_hud_4_items_desc" "%commandverb% %target% %actions%: <i>%item_quality%</i> <b>%item1%</b>/<b>%item2%</b>/<b>%item3%</b>/<b>%item4%</b>"

/////////////////////////////////////////////////////////////////



// win quests

		"Quest_Win_a_Mode"										"Threat Neutralized: <b>%gamemode%</b>"
		"Quest_Win_a_Mode_desc"								"Win one match of <b>%gamemode%</b>."

		"Quest_Win_a_Mapgroup"								"End Game: <b>%gamemode%, %mapgroup%</b>"
		"Quest_Win_a_Mapgroup_desc"						"Score <b>%gamemode%</b> %actions% in matches of <b>%mapgroup%</b>."

		"Quest_Win_a_Map"											"End Game: <b>%gamemode%, %map%</b>"
		"Quest_Win_a_Map_desc"								"Score <b>%gamemode%</b> %actions% in matches of <b>%map%</b>."

		"Quest_Win_Rounds_Map"								"Engagement: <b>%gamemode%, %mapgroup%</b>"
		"Quest_Win_Rounds_Map_desc"						"Score <b>%gamemode%</b> %actions% in matches on <b>%mapgroup%</b>."
		"Quest_Win_Rounds_Map_Short"						"Round Wins"

// equipment quests

		"Quest_Weapon_Mode"										"Equipment Proficiency: <b>%gamemode%</b>, <b>%weapon%</b>"
		"Quest_Weapon_Mode_desc"							"Score <b>%weapon%</b> %optional_target%%actions% in <b>%gamemode%</b> matches."
		
		"Quest_Weapon_Mode_single_desc"				"Score a <b>%weapon%</b> kill in a <b>%gamemode%</b> match."

// equipment + mapgroup quests

		"Quest_Weapon_Mapgroup"							"Equipment Proficiency: <b>%mapgroup%</b>, <b>%weapon%</b>"
		"Quest_Weapon_Mapgroup_desc"					"Score <b>%weapon%</b> %optional_target%%actions% in <b>%gamemode%: %mapgroup%</b> matches."
		"Quest_WeaponDamage_Mapgroup_desc"					"Deal <b>%weapon%</b> %optional_target%%actions% to enemies in <b>%gamemode%: %mapgroup%</b> matches."

	"Quest_Weapon_Within_3_Mapgroup"						"Graduation: <b>%mapgroup%</b>, <b>%weapon%</b>"
		"Quest_Weapon_Within_3_Mapgroup_desc"				"Score <b>%weapon%</b> %optional_target%%actions%<i> within your first 3 shots of the round,</i> in <b>%gamemode%: %mapgroup%</b> matches."

	"Quest_Weapon_Map"									"Equipment Proficiency: <b>%map%</b>, <b>%weapon%</b>"
		"Quest_Weapon_Map_desc"								"Score <b>%weapon%</b> %optional_target%%actions% in <b>%gamemode%: %map%</b> matches."
		"Quest_Weapon_Map_Team_desc"		"As a <b>%team%</b>, score <b>%weapon%</b> %optional_target%%actions% in <b>%gamemode%: %map%</b> matches."		
		"Quest_Weapon_Mapgroup_Team_desc"		"As a <b>%team%</b>, score <b>%weapon%</b> %optional_target%%actions% in <b>%gamemode%: %mapgroup%</b> matches."		

		"Quest_WepUpgrade_Mapgroup"					"Weapon Upgrade: <b>%mapgroup%</b>"

	"Quest_Unique_Weapon_Mapgroup"							"Weapons Expert: <b>%mapgroup%</b>"
		"Quest_Unique_Weapon_Mapgroup_desc"					"Within <b>%gamemode%: %mapgroup%</b> matches, earn mission progress for each %action% <i>accomplished with a unique weapon</i>."
		"Quest_Unique_Weapon_Mapgroup_Team_desc"					"As a <b>%team%</b> in <b>%gamemode%: %mapgroup%</b> matches, earn mission progress for each %action% <i>accomplished with a unique weapon</i>."

		"Quest_Defend_Bomb_Mapgroup_desc"					"Score %actions% <i>after the bomb has been planted</i> in <b>%gamemode%: %mapgroup%</b> matches."

// Hostage quests

	 "Quest_Rescue_Map"								"Hostage Extraction: <b>%map%</b>"
	 "Quest_Rescue_Map_Desc"						"Score %actions% in <b>%gamemode%: %map%</b> matches."

// Plant bomb quests

	 "Quest_PlantBomb_Mapgroup"									"Explosives Expert: <b>%mapgroup%</b>"
	 "Quest_PlantBomb_Mapgroup_Desc"						"Execute %actions% in <b>%gamemode%: %mapgroup%</b> matches."


// Assassination

	 "Quest_Assassination"									"%victim_team% Assassination: <b>%target%</b>"
	 "Quest_Assassination_desc"							"Find and kill the %victim_team% <b>%target%</b> in <b>%gamemode%: %map%</b> matches."

	 "quest_target_turner"									"Turner"
	 "quest_target_jackson"									"Jackson"
	 "quest_target_chapel"									"Chapel"	 
	 "quest_target_sergei"									"Sergei"	 

	 "quest_assassination_you_are_target"					"You are an Assassination Target.\nYou are %s1."
	 "quest_assassination_target_on_server"					"A player is trying to kill Assassination Target: %s1"
	 "quest_assassination_target_on_server_has_quest"		"You are trying to kill Assassination Target: %s1"
	 "quest_assassination_target_killed"					"%s1 has been assassinated!"
	 "quest_assassination_no_longer_target"					"You are no longer %s1." 

// Income
	 "Quest_Income_Mapgroup"								"Gross Income: <b>$1,000,000</b>"
	 "Quest_Income_Mapgroup_desc"						"Earn a total of $1,000,000 in <b>%gamemode%: %mapgroup%</b> matches."
	 "Quest_Income_Mapgroup_Team_desc"			"As a <b>%team%</b>, earn a total of $1,000,000 in <b>%gamemode%: %mapgroup%</b> matches."

	 "Quest_Spend_Mapgroup_Team_desc"			"As a <b>%team%</b>, spend a total of $1,000,000 in <b>%gamemode%: %mapgroup%</b> matches."


//	deathmatch bonus points

		"Quest_DMBonusPoints_Mapgroup"				"Master of Arms: <b>%mapgroup%</b>"
		"Quest_DMBonusPoints_Mapgroup_desc"		"Earn points using the Bonus Weapon in <b>Deathmatch: %mapgroup%</b> matches."

		"Quest_DMBonusPoints_Map"							"Master of Arms: <b>%map%</b>"
		"Quest_DMBonusPoints_Map_desc"				"Earn points using the Bonus Weapon in <b>Deathmatch: %map%</b> matches."

// play quests

		"Quest_Kills_Mapgroup"							"Threat Recon: <b>%gamemode%</b>, <b>%mapgroup%</b>"
		"Quest_Kills_Mapgroup_desc"					"Score %optional_target%%actions% in <b>%gamemode%: %mapgroup%</b> matches."
		"Quest_Kills_Mapgroup_cond_desc"		"Score %optional_target%%actions%—<i>%condition%</i>—in <b>%gamemode%: %mapgroup%</b> matches."
		"Quest_Kills_Mapgroup_Team_desc"		"As a <b>%team%</b>, score %optional_target%%actions% in <b>%gamemode%: %mapgroup%</b> matches."		

		"Quest_Kills_Mapgroup_Victim_Team_desc"		"As a <b>%team%</b>, score %victim_team% %actions% in <b>%gamemode%: %mapgroup%</b> matches."

		"Quest_Flashbang_Mapgroup_Team_desc"		"As a <b>%team%</b>, score %optional_target%%actions% in <b>%gamemode%: %mapgroup%</b> matches."		


		"Quest_Burn_Mapgroup_desc"					"Deal <i>burn</i> %actions% to enemies in <b>%gamemode%: %mapgroup%</b> matches."

		"Quest_Headshots_Mapgroup"							"Headshot: <b>%gamemode%</b>, <b>%mapgroup%</b>"
		"Quest_Headshots_Mapgroup_desc"					"Score headshot %actions% in <b>%gamemode%: %mapgroup%</b> matches."

		"Quest_Kills_Map"										"Threat Recon: <b>%gamemode%</b>, <b>%map%</b>"
		"Quest_Kills_Map_desc"							"Score %optional_target%%actions% in <b>%gamemode%: %map%</b> matches."

		"Quest_Kills_Mode"								"<b>%gamemode%</b> Threat Recon"
		"Quest_Kills_Mode_desc"						"Score %optional_target%%actions% in <b>%gamemode%</b> matches."

// chicken quests

	"Quest_Chicken_Kills_Mapgroup"				"Supply Run: <b>%gamemode%</b>, <b>%mapgroup%</b>"
	"Quest_Chicken_Kills_Map"							"Supply Run: <b>%gamemode%</b>, <b>%map%</b>"
	"Quest_Chicken_Kills"						"Supply Run"

// generic string tokens

	 "quest_weapon_any_weapon"								"Any Weapon"
	 "quest_team_ct"											"Counter-Terrorist"
	 "quest_team_terrorist"								"Terrorist"

// Coop quests

	 "Quest_Guardian_Bomb"									"Guardian Co-op Challenge: <b>%map%</b>, <b>%weapon%</b>"
	 "Quest_Guardian_Bomb_Desc"								"Guardian Co-op Challenge: Play as a <b>%team%</b> with a partner and protect the bombsite from enemies on <b>%map%</b>.<br><br>Score a <b>%action%</b> by getting <b>%kills%</b> enemy kills with <b>%weapon%</b>.  <b>%extradetails%</b>"

	 "Quest_Coop_Desc_Rescue"									"Co-op Strike: Play as a <b>%team%</b> with a partner and <b>rescue the hostage</b> from <b>%map%</b>.<br><br><b>%extradetails%</b>"
	 "Quest_Coop_Desc_Recon"									"Co-op Strike: Play as a <b>%team%</b> with a partner and <b>gather intel</b> from <b>%map%</b>.<br><br><b>%extradetails%</b>"
 	 "Quest_Coop_Desc_Bomb"										"Co-op Strike: Play as a <b>%team%</b> with a partner and <b>Blow up</b> the <b>%map%</b>.<br><br><b>%extradetails%</b>"
 

	 "Quest_Guardian_Hostage"								"Guardian Co-op Challenge: <b>%map%</b>, <b>%weapon%</b>"
	 "Quest_Guardian_Hostage_Desc"							"Guardian Co-op Challenge: Play as a <b>%team%</b> with a partner and prevent the Counter-Terrorists from reaching the Hostages on <b>%map%</b>.<br><br>Score a <b>%action%</b> by getting <b>%kills%</b> enemy kills with <b>%weapon%</b>.  <b>%extradetails%</b>"
	 
	 "quest_guardian_kills_5"								"5"
	 "quest_guardian_kills_10"								"10"
	 "quest_guardian_kills_15"								"15"
	 "quest_guardian_kills_20"								"20"
	 "quest_guardian_kills_25"								"25"
	 "quest_guardian_kills_30"								"30"
	 "quest_guardian_kills_35"								"35"
	 "quest_guardian_kills_40"								"40"
	 "quest_guardian_kills_45"								"45"
	 "quest_guardian_kills_50"								"50"
	 "quest_weapon_CZ75a_or_enemy_weapon"	"CZ75-Auto or any enemy weapon"

	 "quest_guardian_empty"		""
	 "quest_guardian_cantbuy"		"<i>Cannot buy on this mission.</i>"
	 "quest_guardian_maxmoneylimit"		"<i>Max money is limited on this mission.</i>"
	 "quest_guardian_killrewardsonly" 	"<i>Can only earn money from kill rewards.</i>"
	 "quest_guardian_moneyreset" 	"<i>Money is reset after mission failure.</i>"
	 //"quest_guardian_maxmoney_16000"		"$16000"
	 //"quest_guardian_maxmoney_10000"		"$10000"
	 //"quest_guardian_maxmoney_6000"			"$6000"
	 //"quest_guardian_maxmoney_3200"			"$3200"
	 //"quest_guardian_maxmoney_0"			"$0"

	 "quest_hud_guardian_kills_with"					"Get kills: %s1"

//	bonus tokens

	  "quest_bonus_headshot"							"if also a headshot"
	  "quest_bonus_zoomed"								"while scoped"
  	  "quest_bonus_not_zoomed"							"while unscoped"
	  "quest_bonus_chickens"							"when target is a chicken"

	  "quest_bonus_taser"								"when with a Zeus x27"
	  "quest_bonus_bomb_planted"						"when the bomb is planted"
	  "quest_bonus_melee"								"when with a melee weapon"	  



	  "quest_bonus_killstreak_2"						"when in a kill streak of 2 or more"
	  "quest_bonus_killstreak_3"						"when in a kill streak of 3 or more"

	  "quest_bonus_chickenstreak_2"						"when in a chicken kill streak of 2 or more"
	  "quest_bonus_chickenstreak_3"						"when in a chicken kill streak of 3 or more"

	  "quest_bonus_borrowed_gun"						"when using someone else's gun"
	  "quest_bonus_borrowed_gun_enemy"					"when using an enemy's gun"
	  "quest_bonus_borrowed_gun_own"					"when using the target's own gun"
		"quest_bonus_victim_rescuing"					"when the target is rescuing a hostage"
		
	  "quest_bonus_bulletcount_1"						"when accomplished with your first shot of the round"
		
	  "quest_bonus_totalrounds_2"						"if within the first 2 rounds"
	  "quest_bonus_totalrounds_3"						"if within the first 3 rounds"
	  "quest_bonus_totalrounds_4"						"if within the first 4 rounds"
	  "quest_bonus_totalrounds_5"						"if within the first 5 rounds"

  	  "quest_bonus_weapon_elite"						"when with Dual Berettas"
	  "quest_bonus_weapon_ssg08"						"when with SSG08"
	  "quest_bonus_weapon_revolver"						"when with R8 Revolver"
	  "quest_bonus_weapon_glock_hkp2000_usp_silencer"	"when with P2000, USP-S, or Glock-18"

		"quest_bonus_set_weapons_i"						"when the weapon is from the Arms Deal Collection"
		"quest_bonus_set_dust"							"when the weapon is from the Dust Collection"
		"quest_bonus_set_aztec"							"when the weapon is from the Aztec Collection"
		"quest_bonus_set_vertigo"						"when the weapon is from the Vertigo Collection"
		"quest_bonus_set_inferno"						"when the weapon is from the Inferno Collection"
		"quest_bonus_set_militia"						"when the weapon is from the Militia Collection"
		"quest_bonus_set_nuke"							"when the weapon is from the Nuke Collection"
		"quest_bonus_set_office"						"when the weapon is from the Office Collection"
		"quest_bonus_set_assault"						"when the weapon is from the Assault Collection"
		"quest_bonus_set_dust_2"						"when the weapon is from the Dust 2 Collection"
		"quest_bonus_set_train"							"when the weapon is from the Train Collection"
		"quest_bonus_set_mirage"						"when the weapon is from the Mirage Collection"
		"quest_bonus_set_italy"							"when the weapon is from the Italy Collection"
		"quest_bonus_set_lake"							"when the weapon is from the Lake Collection"
		"quest_bonus_set_safehouse"						"when the weapon is from the Safehouse Collection"
		"quest_bonus_set_esports"						"when the weapon is from the eSports 2013 Collection"
		"quest_bonus_set_weapons_i"						"when the weapon is from the Arms Deal Collection"
		"quest_bonus_set_bravo_i"						"when the weapon is from the Bravo Collection"
		"quest_bonus_set_bravo_ii"						"when the weapon is from the Alpha Collection"
		"quest_bonus_set_weapons_ii"					"when the weapon is from the Arms Deal 2 Collection"
		"quest_bonus_set_esports_ii"					"when the weapon is from the eSports 2013 winter Collection"
		"quest_bonus_set_esports_2014_summer"			"when the weapon is from the eSports 2014 Summer Collection"
		"quest_bonus_set_community_1"					"when the weapon is from the Winter Offensive Collection"
		"quest_bonus_set_weapons_iii"					"when the weapon is from the Arms Deal 3 Collection"
		"quest_bonus_set_community_2"					"when the weapon is from the Phoenix Collection"
		"quest_bonus_set_community_3"					"when the weapon is from the Huntsman Collection"
		"quest_bonus_set_community_4"					"when the weapon is from the Breakout Collection"
		"quest_bonus_set_community_5"					"when the weapon is from the Vanguard Collection"
		"quest_bonus_set_community_6"					"when the weapon is from the Chroma Collection"
		"quest_bonus_set_community_7"					"when the weapon is from the Chroma 2 Collection"
		"quest_bonus_set_community_11"					"when the weapon is from the Wildfire Collection"
		"quest_bonus_set_bank"							"when the weapon is from the Bank Collection"
		"quest_bonus_set_baggage"						"when the weapon is from the Baggage Collection"
		"quest_bonus_set_cobblestone"					"when the weapon is from the Cobblestone Collection"
		"quest_bonus_set_overpass"						"when the weapon is from the Overpass Collection"
		"quest_bonus_set_cache"							"when the weapon is from the Cache Collection"
		"quest_bonus_set_kimono"						"when the weapon is from the Rising Sun Collection"

		"quest_bonus_cs_assault"						"when the map is Assault"
		"quest_bonus_cs_italy"							"when the map is Italy"
		"quest_bonus_cs_militia"						"when the map is Militia"
		"quest_bonus_cs_office"							"when the map is Office"
		"quest_bonus_de_aztec"							"when the map is Aztec"
		"quest_bonus_de_dust"							"when the map is Dust"
		"quest_bonus_de_dust2"							"when the map is Dust II"
		"quest_bonus_de_mirage"							"when the map is Mirage"
		"quest_bonus_de_overpass"						"when the map is Overpass"
		"quest_bonus_de_cbble"							"when the map is Cobblestone"
		"quest_bonus_de_train"							"when the map is Train"		
		"quest_bonus_de_inferno"						"when the map is Inferno"
		"quest_bonus_de_nuke"							"when the map is Nuke"
		"quest_bonus_de_shorttrain"						"when the map is Shorttrain"
		"quest_bonus_de_shortdust"						"when the map is Shortdust"
		"quest_bonus_de_vertigo"						"when the map is Vertigo"
		"quest_bonus_de_balkan"							"when the map is Balkan"
		"quest_bonus_ar_baggage"						"when the map is Baggage"
		"quest_bonus_ar_monastery"						"when the map is Monastery"
		"quest_bonus_ar_shoots"							"when the map is Shoots"
		"quest_bonus_de_embassy"						"when the map is Embassy"
		"quest_bonus_de_bank"							"when the map is Bank"
		"quest_bonus_de_lake"							"when the map is Lake"
		"quest_bonus_de_depot"							"when the map is Depot"
		"quest_bonus_de_safehouse"						"when the map is Safehouse"
		"quest_bonus_de_sugarcane"						"when the map is Sugarcane"
		"quest_bonus_de_stmarc"							"when the map is St. Marc"
		"quest_bonus_cs_museum"							"when the map is Museum"
		"quest_bonus_cs_thunder"						"when the map is Thunder"
		"quest_bonus_de_favela"							"when the map is Favela"
		"quest_bonus_cs_downtown"						"when the map is Downtown"
		"quest_bonus_de_seaside"						"when the map is Seaside"
		"quest_bonus_de_library"						"when the map is Library"
		"quest_bonus_cs_motel"							"when the map is Motel"
		"quest_bonus_de_cache"							"when the map is Cache"
		"quest_bonus_de_ali"							"when the map is Ali"
		"quest_bonus_de_ruins"							"when the map is Ruins"
		"quest_bonus_de_chinatown"						"when the map is Chinatown"
		"quest_bonus_de_gwalior"						"when the map is Gwalior"
		"quest_bonus_cs_agency"							"when the map is Agency"
		"quest_bonus_cs_siege"							"when the map is Siege"
		"quest_bonus_de_castle"							"when the map is Castle"
		"quest_bonus_de_overgrown"						"when the map is Overgrown"
		"quest_bonus_de_blackgold"						"when the map is Black Gold"
		"quest_bonus_cs_rush"							"when the map is Rush"
		"quest_bonus_de_mist"							"when the map is Mist"
		"quest_bonus_cs_insertion"						"when the map is Insertion"

		"quest_bonus_cs_workout"						"when the map is Workout"
		"quest_bonus_cs_backalley"						"when the map is Back Alley"
		"quest_bonus_de_marquis"						"when the map is Marquis"
		"quest_bonus_de_facade"							"when the map is Facade"
		"quest_bonus_de_season"							"when the map is Season"
		"quest_bonus_de_bazaar"							"when the map is Bazaar"
		"quest_bonus_de_santorini"						"when the map is Santorini"




// OperationalPoints

		"Quest_OperationalPoints_Template"				"Challenge Award: %s1"

		"Quest_OperationalPoints_1"					"★"
		"Quest_OperationalPoints_2"					"★★"
		"Quest_OperationalPoints_3"					"★★★"

// Hud Message

	 "Quest_ProgressMadeMessage1"								" Mission points to be credited at match end: +%s1."


///////////////////////////////////////////////////////////////////////////////////////////////////////////////

//	Campaigns

	"csgo_campaign_eurasia"						"Campaign Eurasia"
	"csgo_campaign_eurasia_desc"				""
	"csgo_campaign_vanguard"					"Campaign Vanguard"
	"csgo_campaign_vanguard_desc"				""
	"csgo_campaign_maghreb"						"Campaign Maghreb"
	"csgo_campaign_maghreb_desc"				""
	"csgo_campaign_weapons"						"Campaign Weapons Specialist"
	"csgo_campaign_weapons_desc"				""
	"csgo_campaign_marksman"					"Campaign Marksman"
	"csgo_campaign_marksman_desc"				""
	"csgo_campaign_revolution"					"Campaign Revolution"
	"csgo_campaign_revolution_desc"				""
	"csgo_campaign_7"							"Wildfire Campaign"
	"csgo_campaign_7_desc"						"Wildfire missions feature Casual, Arms Race, Demolition, and Deathmatch game modes. Earn Mission XP when you execute the specified mission action."
	"csgo_campaign_8"							"Gemini Campaign"
	"csgo_campaign_8_desc"						"Gemini missions require you to play with a friend. Complete Guardian and Strike missions to earn Mission XP."
	"campaign"									"Campaign"
	"campaign_add_explained"					"<b>Purchasing this campaign gives you:</b>\n - Access to these missions for the duration of the operation\n - One accessible mission immediately\n - Allows you to complete one additional mission a week"
	"campaign_no_price"							"This Campaign is no longer available for purchase"

// Mission Objectives

	"Op_bloodhound_Sebastien_501"						"<b>Sebastien Hennequet</b>: Hello, my name is Sebastien Hennequet, and I'll be your CO for Operation Bloodhound.  Our purpose? Track down one of the most dangerous operators working for The Phoenix.  Under my training you will become more than a soldier... you'll become a hunter.   But before we begin our work with a rifle, you have to learn how to live long enough to get one. Become an expert with your sidearm, it's the fastest way to get the resources you'll need."
	"Op_bloodhound_Sebastien_502"						"<b>Sebastien Hennequet</b>: Until he betrayed us all, Chase Turner was a decorated member of the Coalition Taskforce.  It's suicide to engage him one on one, but with the right coordination we can kill him before he knows he's in your crosshairs.  The AWP is reliable and deadly, and the first tool of the trade you need to master."
	"Op_bloodhound_Sebastien_503"						"<b>Sebastien Hennequet</b>: Despite what Lt. Sabri may think, our victory depends on teamwork, not individual performance.  You're not alone out there: so even if you can't get a kill shot, sometimes wounding the enemy can be enough to tip the scales.  Use the SSG08 to support your allies."
	"Op_bloodhound_Sebastien_504"						"<b>Sebastien Hennequet</b>: Since aligning himself with Valeria, Turner does whatever he can to keep us off balance... forcing us to panic and lose focus.  But precision is the hallmark of a great operator... it's easy to wield an Aug like a cudgel, but can you use it as a scalpel?"
	"Op_bloodhound_Sebastien_505"						"<b>Sebastien Hennequet</b>: We've launched 5 unsuccessful attempts on Turners life... he evaded us twice by using bad intel to trap us: if that happens to you, you need to be prepared for anything."
	"Op_bloodhound_Sebastien_510"						"<b>Sebastien Hennequet</b>: The success or failure of our missions hinge on brief moments: looking around the right corner... pulling the trigger at the right time...  I'm giving you three shots to kill your target... you should need only one."
	"Op_bloodhound_Sebastien_511"						"<b>Sebastien Hennequet</b>: It's graduation day.  We've identified the location of Sergei, one of Valeria's low ranking lieutenants.  Find him.  Kill him...and prove to me that you're ready to hunt Turner."
	"Op_bloodhound_Sebastien_512"						"<b>Sebastien Hennequet</b>: We received word that Turner's terrorist cell has mobilized, this our last chance for weapons training before we go on the hunt."
	"Op_bloodhound_Sebastien_513"						"<b>Sebastien Hennequet</b>: This doesn't make any sense... The Phoenix are raiding Season, but that target doesn't fit in Turner's MO... the target's not political, and the battlefield is too claustrophobic. Be careful when you're leaving bombsite A... there a ladder that leads you to a perfect sniping roost: Turner might be waiting for you."
	"Op_bloodhound_Sebastien_514"						"<b>Sebastien Hennequet</b>: Turner's greatest blow against us came when he assassinated Lord William, one of the Coalition Taskforce's biggest political and financial supporters.   By holding control of a tower he was able to pick off every operator we sent to Rescue Lord William... we can never let history repeat itself."
	"Op_bloodhound_Sebastien_515"						"<b>Sebastien Hennequet</b>: We noticed Phoenix activity at an abandoned rail yard... be careful as you secure the area: It may look like you're surrounded by cover but there are plenty of places that overlook the yard, particularly at bombsite B."
	"Op_bloodhound_Sebastien_516"						"<b>Sebastien Hennequet</b>: We tracked Turner's men to a shopping district the Maghreb region: tread softly when moving down side alleys to bombsite B.  There's a house with excellent visibility where Turner's men can plan an ambush. "
	"Op_bloodhound_Sebastien_517"						"<b>Sebastien Hennequet</b>: Turner knows we're getting close: he's making a move on various soft targets all around the globe... he wants to use these hostage scenarios to divide the Coalition's resources and pick us off one at a time."
	"Op_bloodhound_Sebastien_526"						"<b>Sebastien Hennequet</b>: This is the moment we've been waiting for:  We've confirmed that Turner is spearheading this hostage situation. Find him and kill him."
	"Op_bloodhound_Sebastien_506"						"<b>Sebastien Hennequet</b>: The man we hunt is Chase Turner.  He was a friend to many of us, and a protégé of mine... the most gifted sniper I ever trained.  Valeria's words have twisted him beyond recognition, and when the time comes it will fall on us to put him down.  Let's begin your training with the SSG08."
	"Op_bloodhound_Sebastien_507"						"<b>Sebastien Hennequet</b>: There's a reason why the AWP is the bread and butter for many a marksman.  I've seen firsthand how one pull of the trigger can change the world... perfect your aim, and you might do the same one day."
	"Op_bloodhound_Sebastien_508"						"<b>Sebastien Hennequet</b>: Let's see if you have the discipline to learn what Lt. Sabri couldn't.  Not all precision instruments come with a scope. In the right hands, a Desert Eagle is still effective at long range and is a fraction of the cost of an AWP.  And as you know... early success can shape the rest of the battle."
	"Op_bloodhound_Sebastien_509"						"<b>Sebastien Hennequet</b>: We can't always control the terms of a skirmish, and the unfortunate reality of war is that rifles aren't cheap.  If Turner comes for you, you might not have your preferred rifle, and if that happens you have to be prepared to use whatever is on hand."
	"Op_bloodhound_Sebastien_518"						"<b>Sebastien Hennequet</b>: Before Turner became a traitor he was a world class operator.  With his instincts and ability to control sightlines he was once able to single handedly stop a terrorist plot to destroy the bay area zoo.  The way he told the story, he said he was able to kill The Phoenix and enjoy a dolphin show at the same time."
	"Op_bloodhound_Sebastien_519"						"<b>Sebastien Hennequet</b>: The seeds of Turner's betrayal began after a routine operation in the Maghreb region.  Valeria's agents were looking to bomb a shopping district, and we moved to stop them.  He must have killed a dozen men from the palace interior, but after the skirmish he came home changed... Valeria had reached out to him: and he was swayed by her silver tongue."
	"Op_bloodhound_Sebastien_520"						"<b>Sebastien Hennequet</b>: Turner's forces are bearing down on you.  Remember your training and use the AWP to control the bombsite. It's just the two of you out there, so be smart and cover each other's backs. "
	"Op_bloodhound_Sebastien_521"						"<b>Sebastien Hennequet</b>: Valeria sent Turner on a mission to prove his devotion to the cause - the hijacking and transport of weapons grade plutonium.  One of his favorite tactics was taking control of offices overlooking the train yard, converting them to effective sniper's nests."
	"Op_bloodhound_Sebastien_522"						"<b>Sebastien Hennequet</b>: His place in The Phoenix secured, Turner spearheaded an assault on one of Lord William's estates... the battle was long and brutal.   Turner raced to hold control of a tower on the property, holding off our forces while his new allies sought to complete their mission.  In the end we failed: Lord William was dead."
	"Op_bloodhound_Sebastien_523"						"<b>Sebastien Hennequet</b>: We sought Turner out more aggressively, but it didn't matter: he didn't just have knowledge of our tactics... he knew how to exploit every operator leading the Taskforce.  He launched a plot to kill Kotaro Izaki... using his hatred of Elliott Kingsman to lure him to the Season Corporation."
	"Op_bloodhound_Sebastien_524"						"<b>Sebastien Hennequet</b>: The death of Lord William sent ripples across Europe.  Soon Anarchists spouting the propaganda of The Phoenix took to the streets.  The only reason we held them off was because we were able to maintain the upper park."
	"Op_bloodhound_Sebastien_525"						"<b>Sebastien Hennequet</b>: Our last encounter with Turner was our most chilling.  He was using the rafters at bombsite B to pick us off one by one.  We drove them off... but not before they were able to destroy information regarding their cell: all we know for sure is that The Phoenix are preparing to hit a new civilian target."
	"Op_bloodhound_Sebastien_526"						"<b>Sebastien Hennequet</b>: This is the moment we've been waiting for:  We've confirmed that Turner is among the operators at this hostage situation. If you see him in the engagement, don't hesitate to take him out."
