		"SFUI_MainMenu_News_Title"			"News"
		"CSGO_Watch_Cat_LiveMatches"        "Live"
		"CSGO_Watch_Cat_Downloaded"         "Downloaded"
		"CSGO_Watch_Cat_Streams"            "Streams"
		"CSGO_Watch_Cat_Tournament_0"       "Tournaments"
		"CSGO_Watch_Cat_Tournament_1"       "DreamHack 2013"
		"CSGO_Watch_Cat_Tournament_2"       "Valve Test"
		"CSGO_Watch_Cat_Tournament_3"       "Katowice 2014"
		"CSGO_Watch_Cat_Tournament_4"       "Cologne 2014"
		"CSGO_Watch_Cat_Tournament_5"       "DreamHack 2014"
		"CSGO_Watch_Cat_Tournament_6"       "Katowice 2015"
		"CSGO_Watch_Cat_Tournament_7"       "Cologne 2015"
		"CSGO_Watch_Cat_Tournament_8"       "Cluj-Napoca 2015"
		"CSGO_Watch_Cat_Tournament_9"       "Columbus 2016"
		"CSGO_Watch_Cat_Tournament_10"      "Cologne 2016"
		"CSGO_Watch_Cat_Tournament_11"      "Atlanta 2017"
		"CSGO_Play_PickEm"					"Play Pick'Em Challenge"
		"CSGO_Play_FantasyPickEm"			"Play Fantasy Team/Pick'Em"
		"CSGO_Watch_Copy_Url"				"Copy Link"
		"CSGO_Watch_Info_0"					"Match Sharing Code"
		"CSGO_Watch_Info_2"					"Date"
		"CSGO_Watch_Info_1"					"Duration"
		"CSGO_Watch_Info_3"					"Map"
		"CSGO_Watch_Info_live"				"Watch Stream"
		"CSGO_Watch_Info_delete"			"Delete"
		"CSGO_Watch_Url_Hint"				"<b>Match Sharing Code:</b>"
		"CSGO_Watch_Info_link"				"Copy Share Link"
		"CSGO_Watch_Info_Status_copy"		"Share link copied to clipboard"
		"CSGO_Watch_Info_Status_downloading"	"Downloading Match"
		"CSGO_Watch_Info_Status_error"		"Corrupt download, delete and re-download the match"
		"CSGO_Watch_Info_Status_delete"		"Deleting Match download"
		"CSGO_Watch_Info_download"			"Download"
		"CSGO_Watch_Info_gotv"				"Watch on GOTV"
		"CSGO_Watch_Info_fullsreen"			"Watch on Fullscreen"
		"CSGO_Watch_Info_Tournament_7"		"About ESL Cologne 2015"
		"CSGO_Watch_Info_Tournament_8"		"About DreamHack Cluj-Napoca 2015"
		"CSGO_Watch_Info_Tournament_9"		"About MLG Columbus 2016"
		"CSGO_Watch_Info_Tournament_10"		"About ESL One Cologne 2016"
		"CSGO_Watch_Info_Tournament_11"		"About ELEAGUE Atlanta 2017"
		"CSGO_Watch_Stream_Provided"		"Stream Provided by"
		"CSGO_Watch_Download"               "Download"
		"CSGO_Watch_Delete"                 "Delete"
		"CSGO_Watch_Watch_GOTV"             "Watch GOTV"
		"CSGO_Watch_Watch"                  "Watch Demo"
		"CSGO_Watch_Your_Highlights"        "Watch Your Highlights"
		"CSGO_Watch_Selected_Highlights"    "Watch %s1's Highlights"
		"CSGO_Watch_Your_Lowlights"         "Watch Your Lowlights"
		"CSGO_Watch_Selected_Lowlights"     "Watch %s1's Lowlights"
		"CSGO_Watch_Round"    				"Watch This Round"
		"CSGO_Watch_Download_Hint"    		"Download this match to watch specific rounds and match highlights."
		"CSGO_Watch_Highlights"             "Watch Highlights"
		"CSGO_Watch_Scoreboard"             "Open Scoreboard"
		"CSGO_Watch_Minutes"                "Minutes"
		"CSGO_Watch_Minute"                 "Minute"
		"CSGO_Watch_Rank"                   "Highest Skill Group"
		"CSGO_Watch_Downloading"            "Downloading..."
		"CSGO_Watch_JustStarted"            "Just Started"
		"CSGO_Watch_NoMatch_your"			"Unable to find your Competitive matches. \nYour recent Competitive matches will be shown here."
		"CSGO_Watch_NoMatch_live"			"No live Competitive matches found. \nPlease try again later."
		"CSGO_Watch_NoMatch_downloaded"		"No Competitive matches downloaded. \nYou can download recent Competitive matches from the 'Your Matches' tab."
		"CSGO_Watch_NoSteams"				"No steams were found. Try again later"
		"CSGO_Watch_Loading_your"			"Loading your recent Competitive matches..."
		"CSGO_Watch_Loading_live"			"Loading live Competitive matches..."
		"CSGO_Watch_Loading_downloaded"		"Loading your downloaded Competitive matches..."
		"CSGO_Watch_Loading_PickEm"			"Loading Pick'Em Data..."
		"CSGO_Watch_ReDownload_MetaData"  	"Refresh Match"
		"CSGO_Watch_Loading_MatchData"		"Loading match data..."
		"CSGO_Watch_Gotv_Theater"			"GOTV Theater"
		"CSGO_Watch_Gotv_Theater_tip"       "Start GOTV Theater and watch top live matches one after another"
		"CSGO_Watch_Error_Download"         "Corrupt download, delete and re-download the match"
		"CSGO_Watch_Error_RoundStats_MetaData"  "Refresh the download to see this match's round data"
		"CSGO_Watch_Error_RoundStats_Live"  "Round stats are not available for live games"
		"CSGO_Watch_Error_RoundStats_None"  "Looks like there are no round stats for this match"
		"CSGO_Watch_Error_PickEm_None" 		"No Pick'Em data found for this tournament"
		"CSGO_Watch_Error_Twitch"           "Failed to contact Twitch.tv. Try again later."
		"CSGO_Watch_CheckWithTwitch"        "Checking link with Twitch.tv..."
		"CSGO_Watch_NoMatchData"           "Looks like there is no data to display for this match"
		"CSGO_Watch_Not_Linked"             "Link your Steam account with Twitch.tv to be eligible for tournament item drops while watching official event streams."
		"CSGO_Watch_Linked"                 "Your Steam and Twitch.tv accounts are linked. You are eligible for drops when viewing official event streams through Twitch.tv."
		"CSGO_Watch_Item_Explanation"		"To be eligible for event item drops watch official events through GOTV or through a Steam linked Twitch.tv account."
		"CSGO_Watch_More_Twitch"            "More Streams"
		"CSGO_Watch_NotLinked_Twitch"   "<font color='#E1C111'>Link your Twitch.tv account to be eligible for official event stream item drops."
		"CSGO_Watch_NotLinked_Twitch_Btn"   "Link to Twitch.tv"
		"CSGO_Watch_Linked_Twitch_Btn"      "Your accounts are linked."
		"CSGO_Watch_Streams_Tournament"   	"Offical tournament streams will be listed here"
		"CSGO_Watch_Tournament_Desc_Title"  "DESCRIPTION"
		"CSGO_Watch_Tournament_Info_Title"  "Tournament Details"
		"CSGO_Watch_Tournament_Steams_T"    "Streams"
		"CSGO_Watch_Tournament_Matches_T"   "Tournament Matches"
		"CSGO_Watch_Tournament_Matches_T2"   "Matches"
		"CSGO_Watch_Tournament_Steams_None" "No streams are currently available."
		"CSGO_Watch_Tournament_Desc"		"The 2013 DreamHack SteelSeries CS:GO Championship was the first tournament to feature a $250,000 community-funded prize pool. The tournament took place from November 28th to 30th in Jönköping, Sweden."
		"CSGO_Watch_Tournament_Info"		"Location: Jönköping, Sweden\nThursday, 28 November – BYOC Qualifier + Group stage\nFriday, 29 November – Group stage\nSaturday, 30 November – Playoffs + Finals"
		"CSGO_Watch_Tournament_Teams"       "TEAMS"
		"CSGO_Watch_Tournament_Map"			"MAP"
		"CSGO_Watch_Tournament_Time"		"TIME"
		"CSGO_Watch_Tournament_Viewers"		"VIEWERS"
		"CSGO_Watch_Tournament_Desc_1"      "The 2013 DreamHack SteelSeries CS:GO Championship was the first tournament to feature a $250,000 community-funded prize pool. The tournament took place from November 28th to 30th in Jönköping, Sweden."
		"CSGO_Watch_Tournament_Info_1"      "Location: Jönköping, Sweden \nThursday 28 November – BYOC Qualifier + Group stage \nFriday 29 November – Group stage n\Saturday 30 November – Playoffs + Finals"
		"CSGO_Watch_NoMatch_Tournament_1"   "No DreamHack 2013 matches are live or available for downloading at this time."
		"CSGO_Watch_Loading_Tournament_1"   "Loading DreamHack matches..."
		"CSGO_Watch_Tournament_Desc_2"      "Valve Test Tournament"
		"CSGO_Watch_Tournament_Info_2"      "Location: Your Computer \nThursday 28 November – BYOC Qualifier + Group stage \nFriday 29 November – Group stage n\Saturday 30 November – Playoffs + Finals"
		"CSGO_Watch_NoMatch_Tournament_2"   "No Valve Test matches are live or available for downloading at this time."
		"CSGO_Watch_Loading_Tournament_2"   "Loading Valve Test matches..."
		"CSGO_Watch_Tournament_Desc_3"      "The 2014 EMS One Katowice CS:GO Championship was the ESL's first Counter-Strike tournament to feature a $250,000 community-funded prize pool. The tournament took place from March 13th to 16th in Katowice, Poland."
		"CSGO_Watch_Tournament_Info_3"      "Location: Katowice, Poland \nMarch 13th - 16th"
		"CSGO_Watch_NoMatch_Tournament_3"   "No EMS One 2014 matches are live or available for downloading at this time."
		"CSGO_Watch_Loading_Tournament_3"   "Loading EMS One 2014 matches..."
		"CSGO_Watch_Tournament_Desc_4"      "The ESL One Cologne 2014 CS:GO Championship was the second ESL's Counter-Strike tournament featuring a $250,000 community-funded prize pool. The tournament took place from August 14th to 17th in Cologne, Germany."
		"CSGO_Watch_Tournament_Info_4"      "Location: Cologne, Germany \nAugust 14th - 17th"
		"CSGO_Watch_NoMatch_Tournament_4"   "ESL One Cologne 2014 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_4"   "Loading ESL One Cologne 2014 matches..."
		"CSGO_Watch_Tournament_Desc_5"      "The 2014 DreamHack CS:GO Championship was the second DreamHack Counter-Strike tournament featuring a $250,000 community-funded prize pool. The tournament took place from November 27th to 29th in Jönköping, Sweden."
		"CSGO_Watch_Tournament_Info_5"      "Location: Jönköping, Sweden \nNovember 27th - 29th"
		"CSGO_Watch_NoMatch_Tournament_5"   "DreamHack 2014 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_5"   "Loading DreamHack 2014 matches..."
		"CSGO_Watch_Tournament_Desc_6"      "The ESL One Katowice 2015 CS:GO Championship was the third ESL's Counter-Strike tournament featuring a $250,000 community-funded prize pool."
		"CSGO_Watch_Tournament_Info_6"      "Location: Katowice, Poland \nMarch 12th - 15th"
		"CSGO_Watch_NoMatch_Tournament_6"   "ESL One Katowice 2015 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_6"   "Loading ESL One Katowice 2015 matches..."
		"CSGO_Watch_Tournament_Desc_7"      "The ESL One Cologne 2015 CS:GO Championship was the fourth ESL's Counter-Strike tournament featuring a $250,000 community-funded prize pool."
		"CSGO_Watch_Tournament_Info_7"      "Location: Cologne, Germany \nAugust 20th - 23rd"
		"CSGO_Watch_NoMatch_Tournament_7"   "ESL One Cologne 2015 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_7"   "Loading ESL One Cologne 2015 matches..."
		"CSGO_Watch_Tournament_Desc_8"      "The DreamHack Cluj-Napoca 2015 CS:GO Championship was the third DreamHack Counter-Strike tournament featuring a $250,000 community-funded prize pool."
		"CSGO_Watch_Tournament_Info_8"      "Location: Cluj-Napoca, Romania \nOctober 28th - November 1st"
		"CSGO_Watch_NoMatch_Tournament_8"   "DreamHack Cluj-Napoca 2015 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_8"   "Loading DreamHack Cluj-Napoca 2015 matches..."
		"CSGO_Watch_Tournament_Desc_9"      "The MLG Columbus 2016 CS:GO Championship was the first Counter-Strike major to feature a $1,000,000 prize pool."
		"CSGO_Watch_Tournament_Info_9"      "Location: Columbus, USA \nMarch 29th - April 3rd"
		"CSGO_Watch_NoMatch_Tournament_9"   "MLG Columbus 2016 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_9"   "Loading MLG Columbus 2016 matches..."
		"CSGO_Watch_Tournament_Desc_10"      "The ESL One Cologne 2016 CS:GO Championship was the ESL's first Counter-Strike major to feature a $1,000,000 prize pool."
		"CSGO_Watch_Tournament_Info_10"      "Location: Cologne, Germany \nJuly 5th - 10th"
		"CSGO_Watch_NoMatch_Tournament_10"   "ESL One Cologne 2016 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_10"   "Loading ESL One Cologne 2016 matches..."
		"CSGO_Watch_Tournament_Desc_11"      "The ELEAGUE Atlanta 2017 CS:GO Championship was the ELEAGUE's first Counter-Strike major to feature a $1,000,000 prize pool."
		"CSGO_Watch_Tournament_Info_11"      "Location: Atlanta, USA \nJanuary 22nd - 29th"
		"CSGO_Watch_NoMatch_Tournament_11"   "ELEAGUE Atlanta 2017 matches will be listed here.\nThere are no live matches or downloadable matches available at this time."
		"CSGO_Watch_Loading_Tournament_11"   "Loading ELEAGUE Atlanta 2017 matches..."
		"CSGO_Watch_Tournament_Items"       "EMS One 2014 Lockless Sticker Capsules"
		"CSGO_Watch_Tournament_Info_Link"   "Tournament Info"
		"CSGO_Watch_Tournament_Market_Link" "Browse EMS One Stickers on the Steam Community Market"
		"CSGO_Watch_Tournament_Stickers_Title_5" "2014 DreamHack Team Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_5" "- Get 2014 DreamHack Winter stickers to support your favorite team\n- Use your stickers to play the 2014 DreamHack Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_Title_6" "2015 Katowice Team Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_6" "- Get 2015 Katowice stickers to support your favorite team\n- Use your stickers to play the 2015 Katowice Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_Title_7" "2015 Cologne Tournament Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_7" "- Introducing the new 2015 Cologne player autograph stickers\n- Get 2015 Cologne team stickers to support your favorite teams\n- Use your stickers to play the 2015 Cologne Pick'em Challenges"
		"CSGO_Watch_Tournament_Stickers_Title_8" "2015 Cluj-Napoca Tournament Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_8" "- Introducing 2015 Cluj-Napoca player autograph stickers\n- Get 2015 Cluj-Napoca team stickers to support the teams\n- Use your stickers to play the all new 2015 Cluj-Napoca\n   Fantasy Game and Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_Title_9" "2016 Columbus Tournament Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_9" "- Introducing 2016 Columbus player autograph stickers\n- Get 2016 Columbus team stickers to support the teams\n- Use your stickers to play the 2016 Columbus\n   Fantasy Game and Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_Title_10" "2016 Cologne Tournament Stickers"
		"CSGO_Watch_Tournament_Stickers_Desc_10" "- Introducing 2016 Cologne player autograph stickers\n- Get 2016 Cologne team stickers to support the teams\n- Use your stickers to play the 2016 Cologne\n   Fantasy Game and Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_Title_11" "2017 Atlanta Stickers & Graffiti"
		"CSGO_Watch_Tournament_Stickers_Desc_11" "- Introducing 2017 Atlanta team graffiti\n- Get 2017 Atlanta items to support the teams\n- Use your team stickers to play the Pick'em Challenge"
		"CSGO_Watch_Tournament_Stickers_See" "Get The Items"
		"CSGO_Watch_Tournament_Champion" 	"%a1 Champion"
		"CSGO_Watch_Tournament_You_Won"		"You Won This Match!"
		"CSGO_Watch_Tournament_startround"		"1st Round"
		"CSGO_Watch_Tournament_Halftime"		"Halftime"
		"CSGO_Watch_Tournament_Lastround"		"30"
		"CSGO_Watch_Tournament_Challengers" "Challengers Team Strickers"
		"CSGO_Watch_Tournament_Legends"     "Legends Team Strickers"
		
		"CSGO_Watch_Tournament_Market_Link2""Team Stickers on the Steam Community Market"
		"CSGO_Watch_Team_MarketLink"    	"Buy %s1 items on the Steam Community Market "
		"CSGO_Watch_PickEm_Rules"    	    "Pick'Em Rules"
		"CSGO_Watch_PickEm_Leaderboards"    "Pick'Em Leaderboard"
		"CSGO_Watch_Fantasy_Leaderboards"    "Fantasy Team Leaderboards"
		"CSGO_Watch_PickEm_Alert_Picks_Open" "Make Picks"
		"CSGO_PickEm_Title_Tournament_4"    "PLAY THE COLOGNE 2014"
		"CSGO_PickEm_Title_Tournament_5"    "PLAY THE DREAMHACK 2014"
		"CSGO_PickEm_Title_Tournament_6"    "PLAY THE KATOWICE 2015"
		"CSGO_PickEm_Title_Tournament_7"    "PLAY THE COLOGNE 2015"
		"CSGO_PickEm_Title_Tournament_8"    "PLAY THE CLUJ-NAPOCA 2015"
		"CSGO_PickEm_Title_Tournament_9"    "PLAY THE COLUMBUS 2016"
		"CSGO_PickEm_Title_Tournament_10"    "PLAY THE COLOGNE 2016"
		"CSGO_PickEm_Title_Tournament_11"    "PLAY THE ATLANTA 2017"
		"CSGO_PickEm_Title_Tournament_Old_4"    "THE COLOGNE 2014"
		"CSGO_PickEm_Title_Tournament_Old_5"    "THE DREAMHACK 2014"
		"CSGO_PickEm_Title_Tournament_Old_6"    "THE KATOWICE 2015"
		"CSGO_PickEm_Title_Tournament_Old_7"    "THE COLOGNE 2015"
		"CSGO_PickEm_Title_Tournament_Old_8"    "THE CLUJ-NAPOCA 2015"
		"CSGO_PickEm_Title_Tournament_Old_9"    "THE COLUMBUS 2016"
		"CSGO_PickEm_Title_Tournament_Old_10"    "THE COLOGNE 2016"
		"CSGO_PickEm_Title_Tournament_Old_11"    "THE ATLANTA 2017"
		"CSGO_PickEm_Title"    				"Pick'Em Challenge"
		"CSGO_Player_PickEm_Title"			"Player Pick'Em"
		"CSGO_Team_PickEm_Title"			"Team Pick'Em"
		"CSGO_Fantasy_PickEm_Title"			"Fantasy Team"
		"CSGO_Team_PickEm_Title_1"			"Team Pick'Em"
		"CSGO_Team_PickEm_Title_2"			"Team Pick'Em"
		"CSGO_Team_PickEm_Title_3"			"Team Pick'Em"
		"CSGO_Fantasy_PickEm_Groups_Title"		"Pick'Em: Group Stage"
		"CSGO_Fantasy_PickEm_Playoffs_Title"	"Pick'Em: Playoffs"
		"CSGO_Team_PickEm_Title_4"			"Cologne 2014 Team Pick'Em"
		"CSGO_Team_PickEm_Title_5"			"Dreamhack 2014 Team Pick'Em"
		"CSGO_Team_PickEm_Title_6"			"Katowice 2015 Team Pick'Em"
		"CSGO_Team_PickEm_Title_7"			"Cologne 2015 Team Pick'Em"
		"CSGO_Team_PickEm_Title_8"			"Cluj-Napoca 2015 Team Pick'Em"
		"CSGO_Team_PickEm_Title_9"			"Columbus 2016 Team Pick'Em"
		"CSGO_Team_PickEm_Title_10"			"Cologne 2016 Team Pick'Em"
		"CSGO_Team_PickEm_Title_11"			"Atlanta 2017 Team Pick'Em"
		"CSGO_Team_PickEm_Title_Player_7"			"Cologne 2015 Player Pick'Em"
		"CSGO_Team_PickEm_Title_Fantasy_7"		"Cologne 2015 Fantasy Team Game"
		"CSGO_Team_PickEm_Title_Fantasy_8"		"Cluj-Napoca 2015 Fantasy Team Game"
		"CSGO_Team_PickEm_Title_Fantasy_9"		"Columbus 2016 Fantasy Team Game"
		"CSGO_Team_PickEm_Title_Fantasy_10"		"Cologne 2016 Fantasy Team Game"
		"CSGO_Tournament_Day_0"			"1st Day"
		"CSGO_Tournament_Day_1"			"2nd Day"
		"CSGO_Tournament_Day_2"			"3rd Day"
		"CSGO_Tournament_Day_3"			"4th Day"
		"CSGO_Tournament_Day_4"			"5th Day"
		"CSGO_Tournament_Day_5"			"Final Day"
		"CSGO_Tournament_Day_6"			"Final Day"
		"CSGO_Tournament_Day_Tournament"		"%s1 - %s2"
		"CSGO_Tournament_Match_Day_0"			"1st Day Matches..."
		"CSGO_Tournament_Match_Day_1"			"2nd Day Matches..."
		"CSGO_Tournament_Match_Day_2"			"3rd Day Matches..."
		"CSGO_Tournament_Match_Day_3"			"4th Day Matches..."
		"CSGO_Tournament_Match_Day_4"			"5th Day Matches..."
		"CSGO_Tournament_Match_Day_5"			"6th Day Matches..."
		"CSGO_Tournament_Matches_Groups"		"Group Stage Matches..."
		"CSGO_Tournament_Matches_Semis"			"Semifinal Matches..."
		"CSGO_Tournament_Matches_Quarter"		"Quarterfinal Matches..."
		"CSGO_Tournament_Matches_Semis_Finals"			"Semifinals and Finals..."
		"CSGO_Tournament_Matches_Finals"		"Final Matches..."
		"CSGO_Tournament_Matches_All"			"All Matches..."
		"CSGO_Tournament_Group_Live"		"Watch Live Match"
		"CSGO_Watch_Tournament_Info_info" 			"How To Play"
		"CSGO_Watch_Tournament_Info_external_link" 			"Tournament Info"
		"CSGO_Watch_AllStar_Title"			"All-Star Game"	
		"CSGO_PickEm_Desc_Tournament_4"    	"<li>Use the ESL One Cologne 2014 team stickers to make correct picks and earn points towards trophy badge.</li><li>Be sure to make your picks before the start of each match.</li>"
		"CSGO_PickEm_Desc_Tournament_5"    	"<li>Use the DreamHack 2014 team stickers to make correct picks and earn points towards trophy badge.</li><li>Be sure to make your picks before the start of each match.</li>"
		"CSGO_PickEm_Desc_Tournament_6"    	"<li>Use the Katowice 2015 team stickers to make correct picks and earn points towards trophy badge.</li><li>Be sure to make your picks before the start of each match.</li>"
		"CSGO_PickEm_Desc_Tournament_7"    	"<li>Watch the matches at ESL One Cologne 2015 and use your team stickers to pick the winners at each stage.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar and in your Steam profile.</li><li>Be sure to make your picks before the start of each match.</li>"
		"CSGO_PickEm_Desc_Tournament_8"    	"<li>Watch the matches at DreamHack Cluj-Napoca 2015 and use your team stickers to pick the winners of each matchup.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar and in your Steam profile.</li><li>Be sure to make your picks before the start of each match.</li><li>Get one additional point each day you play.</li>"
		"CSGO_PickEm_Desc_Tournament_9"    	"<li>Watch the matches at MLG Columbus 2016 and use your team stickers to pick the winners of each matchup.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar and in your Steam profile.</li><li>Be sure to make your picks before the start of each match.</li><li>Get one additional point each day you play.</li>"
		"CSGO_PickEm_Desc_Tournament_10"    	"<li>Watch the matches at ESL One Cologne 2016 and use your team stickers to pick the winners of each matchup.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar and in your Steam profile.</li><li>Be sure to make your picks before the start of each match.</li><li>Get one additional point each day you play.</li>"
		"CSGO_PickEm_Desc_Tournament_11"    	"<li>Watch matches and use your team stickers to make predictions for the Group and Playoff stages.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar and in your Steam profile.</li><li>You can make Group Stage predictions until the Group Stage begins.</li><li>You can make Playoff predictions until the Playoffs begin.</li>"
		"CSGO_PickEm_Desc_Tournament_Player_7"    	"<li>Watch the matches at ESL One Cologne 2015 and use your autographed player stickers to pick players who will top the leaderboards at each stage.</li><li>Whenever you make a correct pick, you'll earn points toward a Pick'Em Trophy that can be displayed on your CS:GO avatar in your Steam profile.</li><li>Be sure to make your picks before the start of each match.</li>"
		"CSGO_PickEm_Desc_Tournament_Fantasy_8" "<li>Watch the world's best CS:GO players compete at Cluj-Napoca 2015</li><li>Score points and improve your global ranking by fielding a <b>full roster of five different players.</b></li><li>Rosters roll over to the next day and keep earning points till the end of the tournament. Rosters are locked and cannot be adjusted during the day's matches.</li><li>Earn a Bronze, Silver, or Gold Fantasy Trophy by achieving a ranking in the top 30%, 15%, or 5%, respectively.</li>"
		"CSGO_PickEm_Desc_Tournament_Fantasy_9" "<li>Watch the world's best CS:GO players compete at Columbus 2016</li><li>Score points and improve your global ranking by fielding a <b>full roster of five different players.</b></li><li>Rosters roll over to the next day and keep earning points till the end of the tournament. Rosters are locked and cannot be adjusted during the day's matches.</li><li>Earn a Bronze, Silver, or Gold Fantasy Trophy by achieving a ranking in the top 30%, 15%, or 5%, respectively.</li>"
		"CSGO_PickEm_Desc_Tournament_Fantasy_10" "<li>Watch the world's best CS:GO players compete at Cologne 2016</li><li>Score points and improve your global ranking by fielding a <b>full roster of five different players.</b></li><li>Rosters roll over to the next day and keep earning points till the end of the tournament. Rosters are locked and cannot be adjusted during the day's matches.</li><li>Earn a Bronze, Silver, or Gold Fantasy Trophy by achieving a ranking in the top 30%, 15%, or 5%, respectively.</li>"
		"CSGO_PickEm_Desc_Tournament_Old"    	"This Pick'Em Challenge has ended."
		"CSGO_Tournament_Month_4"		"August %s1"
		"CSGO_Tournament_Month_5"		"November %s1"
		"CSGO_Tournament_Final_Date_5"	"November 29th"
		"CSGO_Tournament_Month_6"		"March %s1"
		"CSGO_Tournament_Month_7"		"August %s1"							
		"CSGO_Tournament_Month_8"		"October %s1"	
		"CSGO_Tournament_Month_Short_8"	"OCT"		
		"CSGO_Tournament_Final_Date_8"	"November 1st"		
		"CSGO_Tournament_Month_Final_Short_8"	"NOV"	
		"CSGO_Tournament_Month_9"		"March %s1"	
		"CSGO_Tournament_Month_Short_9"	"MAR"	
		"CSGO_Tournament_Month_9_1"		"April %s1"	
		"CSGO_Tournament_Month_Short_9_1"	"APR"		
		"CSGO_Tournament_Final_Date_9"	"April 3rd"		
		"CSGO_Tournament_Month_Final_Short_9"	"APR"	
		"CSGO_Tournament_Month_10"		"July %s1"	
		"CSGO_Tournament_Month_Short_10"	"JUL"	
		"CSGO_Tournament_Month_10_1"		"July %s1"	
		"CSGO_Tournament_Month_Short_10_1"	"JUL"		
		"CSGO_Tournament_Final_Date_10"	"July 10th"		
		"CSGO_Tournament_Month_Final_Short_10"	"JUL"	
		"CSGO_Tournament_Month_11"		"Jan %s1"	
		"CSGO_Tournament_Month_Short_11"	"JAN"	
		"CSGO_Tournament_Month_11_1"		"Jan %s1"
		"CSGO_Tournament_Month_Short_11_1"	"JAN"		
		"CSGO_Tournament_Final_Date_11"	"Jan 29th"
		"CSGO_Tournament_Month_Final_Short_11"	"JAN"	
		"CSGO_PickEm_Score_Title"		"Total Points"
		"CSGO_PickEm_Trophy_Title"		"Trophy Level"
		"CSGO_PickEm_Trophy_Status"		"%s1 away from %s2"
		"CSGO_Fantasy_Trophy_Status"	"Your Global Ranking %s1"
		"CSGO_PickEm_Trophy_Status_Gold""Congratulations!"
		"CSGO_PickEm_No_Pick"		    "Make Your Pick"
		"CSGO_PickEm_Active"		    "Active %s1"
		"CSGO_PickEm_Correct"		    "Correct Pick"
		"CSGO_PickEm_Inorrect"		    "Incorrect Pick"
		"CSGO_PickEm_MatchStarted"		"Match Started"
		"CSGO_PickEm_Advance"		    "Winner!"
		"CSGO_PickEm_Eliminated"		"Eliminated"
		"CSGO_PickEm_Has_Stricker"		"Have Sticker"
		"CSGO_PickEm_Confirm_Pick"		"Confirm Pick"
		"CSGO_PickEm_Make_Pick"		    "Make Pick"
		"CSGO_Fantasy_Make_Pick"		    "Submit Roster"
		"CSGO_PickEm_No_Pick_Player"	"Pick a Player for:"
		"CSGO_PickEm_Use_Stricker"		"Place Sticker"
		"CSGO_PickEm_Get_Stricker"		"Get Sticker"
		"CSGO_PickEm_Remove_Pick"	    "Remove"
		"CSGO_PickEm_Trophy_level_Bronze"	"Bronze"
		"CSGO_PickEm_Trophy_level_Silver"	"Silver"
		"CSGO_PickEm_Trophy_level_Gold"	    "Gold!"
		"CSGO_PickEm_Trophy_Your_Score"	    "Your Total Points: <b><font color='#FFFFFF'>%s1</font>"
		"CSGO_PickEm_Trophy_Combined_Score"		"Team & Player Pick'Em Points: <b><font color='#FFFFFF'>%s1</font>"
		"CSGO_Fantasy_Trophy_Score"		"Fantasy Team's Total Points: <b><font color='#FFFFFF'>%s1</font>"
		"CSGO_Fantasy_Trophy_Title"		"Fantasy Trophy Status"
		"CSGO_PickEm_Trophy_Title"		"Pick'Em Trophy Status"
		"CSGO_PickEm_Points_Group"	 "%s1 earned (%s2 points per pick)"
		"CSGO_PickEm_Team_TBD"	            "To Be Determined"
		"CSGO_PickEm_Pick_Confirmed"	    "Pick Confirmed"
		"CSGO_PickEm_Pick_Submitting"	    "Submitting Pick..."
		"CSGO_PickEm_Group_A"     "Group A"
		"CSGO_PickEm_Group_B"     "Group B"
		"CSGO_PickEm_Group_C"     "Group C"
		"CSGO_PickEm_Group_D"     "Group D"
		"CSGO_PickEm_QuaterFinals"    	"Quarterfinals"
		"CSGO_PickEm_SemiFinals"     	"Semifinals"
		"CSGO_PickEm_GrandFinals"    	"Grand Final"
